District,Police Station,Year,FIR No.,Registration Date,FIR No,Sections,Address,Crime_Section,Latitude,Longitude
THANE CITY,AMBERNATH,2024,345,01/03/2024 16:54:07,0345/2024,"गुंगीकारक औषधीदव्‍य आणि मनोव्‍यापारावर परिणाम करणारे प्रदार्थ अधिनियम, १९८५ - 27,8(c)","Dagdusheth Halwai Temple Road, AMBERNATH",Drug Offense,19.183925,73.032636
THANE CITY,AMBERNATH,2024,344,28/02/2024 15:21:06,0344/2024,भारतीय विद्युत अधिनियम (सुधारणा) २००३ - 135,"Dagdusheth Halwai Temple Road, AMBERNATH",Electricity Offense,19.247364,72.978761
THANE CITY,AMBERNATH,2024,343,28/02/2024 13:22:28,0343/2024,भारतीय विद्युत अधिनियम (सुधारणा) २००३ - 135,"Near Theatre, AMBERNATH",Electricity Offense,19.200467,72.948712
THANE CITY,AMBERNATH,2024,342,28/02/2024 03:46:44,0342/2024,"महाराष्ट्र दारूबंदी अधिनियम,१९४९ - 65(e)","Dagdusheth Halwai Temple Road, AMBERNATH",Prohibition Offense,19.242605,72.942797
THANE CITY,AMBERNATH,2024,340,27/02/2024 16:44:44,0340/2024,"भारतीय दंड संहिता १८६० - ३४,४२०","Vivekananda Street, AMBERNATH",Theft/Robbery,19.249775,73.004255
THANE CITY,AMBERNATH,2024,339,26/02/2024 01:03:35,0339/2024,"भारतीय दंड संहिता १८६० - ३०२,३४","Near Theatre, AMBERNATH",Murder,19.186131,72.977243
THANE CITY,AMBERNATH,2024,338,25/02/2024 19:10:01,0338/2024,"भारतीय दंड संहिता १८६० - ३८०,४५४,४५७","Dagdusheth Halwai Temple Road, AMBERNATH",Theft/Robbery,19.259277,72.974711
THANE CITY,AMBERNATH,2024,337,23/02/2024 15:31:13,0337/2024,"भारतीय दंड संहिता १८६० - ३२३,३२४,३४,५०४","Dagdusheth Halwai Temple Road, AMBERNATH",Assault,19.171979,72.928789
THANE CITY,AMBERNATH,2024,336,22/02/2024 20:38:58,0336/2024,"भारतीय दंड संहिता १८६० - ३२३,४५२,५०४","Dagdusheth Halwai Temple Road, AMBERNATH",Assault,19.209451,72.929921
THANE CITY,AMBERNATH,2024,335,22/02/2024 19:58:35,0335/2024,भारतीय दंड संहिता १८६० - ३७९,"Vivekananda Street, AMBERNATH",Theft/Robbery,19.248535,73.033226
THANE CITY,AMBERNATH,2024,334,21/02/2024 21:03:17,0334/2024,भारतीय दंड संहिता १८६० - ३७९,"Near Theatre, AMBERNATH",Theft/Robbery,19.269755,73.005681
THANE CITY,AMBERNATH,2024,333,21/02/2024 16:49:06,0333/2024,"गुंगीकारक औषधीदव्‍य आणि मनोव्‍यापारावर परिणाम करणारे प्रदार्थ अधिनियम, १९८५ - 27,8(c)","Vivekananda Street, AMBERNATH",Drug Offense,19.204866,72.974274
THANE CITY,AMBERNATH,2024,332,21/02/2024 15:22:08,0332/2024,भारतीय दंड संहिता १८६० - ४२०,"Near Theatre, AMBERNATH",Theft/Robbery,19.261385,72.986516
